Freq.	V(vout)/(V(vinp)-V(vinn))
1.77827941003891e+09	(-2.32388853302486e+01dB,-1.34785262021215e+02°)
1.99526231496886e+09	(-2.47102135738621e+01dB,-1.38353560133448e+02°)
2.23872113856832e+09	(-2.62277070466111e+01dB,-1.41946128182344e+02°)
2.51188643150955e+09	(-2.77889388076365e+01dB,-1.45546375112319e+02°)
2.81838293126442e+09	(-2.93909293258316e+01dB,-1.49143697371054e+02°)
3.16227766016835e+09	(-3.10304440102032e+01dB,-1.52733415445501e+02°)
3.54813389233572e+09	(-3.27042120210309e+01dB,-1.56315863686920e+02°)
3.98107170553493e+09	(-3.44090196492206e+01dB,-1.59895047174236e+02°)
4.46683592150958e+09	(-3.61416758326825e+01dB,-1.63477345106778e+02°)
5.01187233627267e+09	(-3.78988870005074e+01dB,-1.67070622939070e+02°)
5.62341325190343e+09	(-3.96770981483764e+01dB,-1.70683882319707e+02°)
6.30957344480186e+09	(-4.14723525051005e+01dB,-1.74327340322132e+02°)
7.07945784384130e+09	(-4.32802008156870e+01dB,-1.78012681553165e+02°)
7.94328234724273e+09	(-4.50956664885281e+01dB,1.78246798062458e+02°)
8.91250938133735e+09	(-4.69132558824400e+01dB,1.74436366141534e+02°)
9.99999999999989e+09	(-4.87269982730370e+01dB,1.70540446409955e+02°)
1.12201845430195e+10	(-5.05305054433331e+01dB,1.66543622883804e+02°)
1.25892541179415e+10	(-5.23170509924566e+01dB,1.62431970406510e+02°)
1.41253754462274e+10	(-5.40796787947274e+01dB,1.58194570213927e+02°)
1.58489319246109e+10	(-5.58113544196441e+01dB,1.53825025067324e+02°)
1.77827941003890e+10	(-5.75051703048213e+01dB,1.49322751178007e+02°)
1.99526231496886e+10	(-5.91546044191237e+01dB,1.44693802387749e+02°)
2.23872113856831e+10	(-6.07538146952113e+01dB,1.39950997124525e+02°)
2.51188643150955e+10	(-6.22979321485615e+01dB,1.35113193604231e+02°)
2.81838293126442e+10	(-6.37833013507763e+01dB,1.30203701109694e+02°)
3.16227766016834e+10	(-6.52076150991753e+01dB,1.25248001751602e+02°)
3.54813389233571e+10	(-6.65699045889399e+01dB,1.20271133527494e+02°)
3.98107170553492e+10	(-6.78703745007301e+01dB,1.15295187279653e+02°)
4.46683592150957e+10	(-6.91101052497573e+01dB,1.10337356326444e+02°)
5.01187233627266e+10	(-7.02906711898814e+01dB,1.05408854204060e+02°)
5.62341325190342e+10	(-7.14137362677754e+01dB,1.00514832078119e+02°)
6.30957344480185e+10	(-7.24806865158115e+01dB,9.56552459986354e+01°)
7.07945784384129e+10	(-7.34923464805924e+01dB,9.08264902947055e+01°)
7.94328234724271e+10	(-7.44488106508373e+01dB,8.60235390329404e+01°)
8.91250938133734e+10	(-7.53494057885595e+01dB,8.12423080378525e+01°)
1.00000000000000e+11	(-7.61927869812349e+01dB,7.64819427473886e+01°)
